station_id,road_width,speed_limit,speed_limit_winter
1,750,120,100
3,750,80,80
4,750,120,100
5,750,120,100
6,720,60,60
7,750,100,100
8,750,120,100
9,740,100,100
10,700,70,70
11,700,60,60
98,750,80,80
99,750,120,100
101,1030,80,80
102,750,80,80
103,1030,100,100
104,700,120,100
105,700,80,80
106,700,100,100
107,700,80,80
108,750,120,100
109,800,100,100
110,750,120,100
111,1100,100,100
112,750,120,100
114,700,100,80
115,750,80,80
116,1050,70,70
117,1030,60,60
119,750,120,100
121,700,80,80
122,750,100,80
123,700,60,60
124,650,80,80
125,750,80,80
126,720,80,80
127,600,80,80
128,700,80,80
129,700,100,80
130,750,80,80
131,700,80,80
133,750,80,80
134,780,100,80
135,700,80,80
136,700,80,80
137,750,120,100
138,700,60,60
139,700,120,100
140,700,100,100
141,N/A,120,100
142,750,120,100
143,N/A,100,100
144,N/A,100,100
145,1050,80,80
146,1050,80,80
147,1050,80,80
148,700,80,80
149,700,80,80
150,1110,80,80
151,700,60,60
152,N/A,80,80
153,700,80,80
154,1150,100,100
155,800,70,70
156,N/A,100,100
158,700,80,80
159,700,80,80
160,N/A,80,80
162,720,80,80
163,N/A,80,80
164,1050,60,60
165,700,80,80
167,N/A,100,100
168,1050,100,100
169,1020,80,80
172,750,120,100
175,N/A,100,100
176,750,120,100
177,N/A,120,100
178,750,120,100
179,N/A,100,100
182,750,80,80
183,700,100,100
184,750,120,100
185,750,120,100
186,750,120,100
187,N/A,120,100
188,N/A,120,100
189,N/A,120,100
190,750,120,100
191,700,120,100
192,700,120,100
193,790,120,100
194,750,120,100
195,720,80,80
196,650,50,50
197,700,60,60
198,750,120,100
998,750,120,100
1605,N/A,120,100
1606,750,120,100
1607,N/A,120,100
